TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20151110151786,1,2,19.8,3,5,1,60,30,0,0,-1,2,1,1,4,2,-1,-1,1, 23634467.988733,2,1,1,73,7,2,1,2,1,-1,1,1,2,150,2,0
20151110151787,1,2,28.3,3,5,5,240,10,0,0,-1,2,1,1,6,2,-1,-1,1,  8138736.196345,2,2,2,65,7,2,-1,-1,2,-1,-1,-1,-1,170,2,0
20151110151789,1,-2,17.6,3,4,-1,255,0,0,0,-1,2,2,1,7,2,-1,-1,1,  5459687.846550,2,1,2,65,7,1,1,2,3,-1,-1,-1,2,106,2,2
20151110151791,1,1,-1.0,1,1,5,10,10,0,-1,-1,2,1,2,-1,1,3,1,1, 27571870.455608,2,2,1,68,7,-1,1,2,1,-1,1,2,2,-3,2,0
20151110151796,1,1,24.4,3,1,5,65,10,0,0,-1,1,1,1,3,1,2,1,1,  2266277.072561,2,2,1,69,7,-1,1,2,1,2,1,2,1,165,2,0
20151110151799,1,2,27.4,3,5,5,60,15,0,0,-1,1,1,1,7,1,1,2,1, 15457998.773118,2,2,2,68,7,2,-1,-1,2,2,-1,-1,-1,180,-1,0
20151110151802,1,2,32.6,3,3,5,125,0,0,0,1,1,2,2,-1,1,2,2,1,  3684911.777431,2,2,1,64,7,1,1,2,1,1,2,2,1,190,2,0
20151110151804,1,1,32.5,3,1,1,30,60,0,0,2,1,1,1,4,1,1,1,1,  4007079.469287,2,2,2,75,7,-1,1,2,3,1,-1,-1,2,260,2,0
20151110151806,1,1,31.2,3,1,5,30,0,0,0,-1,2,2,1,7,2,-1,-1,1, 25714056.705408,2,3,2,72,7,-1,-1,-1,2,-1,-1,-1,-1,230,-1,0
20151110151810,1,2,23.9,3,5,-1,10,0,0,0,-1,2,2,2,-1,1,4,1,1,  1454913.514688,2,4,1,63,7,2,1,2,1,-1,1,2,2,135,-1,0
20151110151814,1,1,38.3,3,1,-1,55,0,0,0,1,1,2,2,-1,1,1,2,1,  1303865.807999,2,3,1,65,7,-1,1,2,1,1,1,2,2,230,2,0
20151110151815,1,1,30.5,3,1,5,50,220,0,0,1,1,1,1,1,1,1,2,1,  6770508.447851,2,3,2,72,7,-1,1,2,3,1,-1,-1,2,225,2,0
20151110151818,1,2,42.2,3,3,-1,90,0,0,0,-1,1,2,2,-1,2,-1,-1,1, 51776933.651765,1,3,3,62,7,1,-1,-1,2,2,2,1,-1,231,2,0
20151110151825,1,1,32.3,3,1,5,40,20,0,0,-1,1,1,1,2,1,1,2,1,  4499626.956427,2,4,1,59,7,-1,-1,-1,2,2,1,2,-1,160,2,0
20151110151826,1,2,34.9,3,5,5,90,30,0,0,-1,1,1,2,-1,2,-1,-1,1,  6869398.327251,2,5,2,71,7,3,-1,-1,2,2,-1,-1,-1,250,-1,0
20151110151828,1,1,22.9,3,1,-1,60,70,0,0,-1,1,1,2,-1,2,-1,-1,1,  7859871.948345,2,2,2,62,7,1,-1,-1,2,2,-1,-1,-1,125,2,73
20151110151834,1,1,26.1,3,1,-1,60,15,0,0,-1,1,1,1,6,1,4,1,1,  2307338.524740,2,2,1,68,7,-1,1,2,1,-2,1,2,2,172,-1,0
20151110151836,1,3,-1.0,3,2,-1,45,10,0,-1,-1,1,1,1,2,1,1,2,1,  2196642.274068,2,3,1,66,7,-1,1,2,1,2,2,1,2,-3,-1,0
20151110151838,1,1,29.0,3,1,-1,0,75,0,0,-1,2,1,2,-1,2,-1,-1,-2,  8945949.798865,2,4,1,67,7,-1,-1,-1,2,-1,1,2,-1,185,-1,0
20151110151840,1,3,26.9,3,2,-1,35,5,0,0,-1,2,1,2,-1,1,1,2,1,  2481188.460517,2,2,1,62,7,-1,2,2,1,-1,2,2,-1,147,-1,0
20151110151848,1,1,27.4,3,1,5,55,0,0,0,-1,1,2,1,5,1,1,2,1,  8279438.621061,2,2,2,68,7,-1,-1,-1,2,2,-1,-1,-1,180,-1,0
20151110151852,1,2,39.5,3,5,-1,65,20,0,0,2,1,1,2,-1,1,4,2,2,  4677121.147974,2,3,1,64,7,2,1,2,1,1,1,3,2,230,2,0
20151110151853,1,1,20.4,2,1,-1,60,50,0,0,-1,1,1,1,7,1,4,2,1,  2832173.756782,2,1,1,67,7,-1,1,2,1,2,1,2,2,130,-1,0
20151110151854,1,1,29.8,3,1,-1,132,0,0,0,-1,1,2,1,3,1,4,2,2,  4248665.282913,2,3,1,63,7,-1,1,2,1,2,2,2,2,168,2,0
20151110151856,1,2,-1.0,3,5,-1,10,0,0,-1,-1,2,2,1,7,2,-1,-1,1,  2757356.134033,1,3,1,64,7,2,1,2,1,-1,2,6,2,-5,2,0
20151110151864,1,2,45.8,3,5,-1,20,15,0,0,-1,2,1,1,7,1,1,2,1,  4736229.037027,1,3,1,65,7,2,1,2,1,-1,2,-2,2,275,2,0
20151110151865,1,1,-1.0,3,1,-1,10,0,-1,-1,2,1,2,-3,-1,2,-1,-1,-3,  1816110.843837,-3,-3,1,-3,7,-3,-3,-3,1,1,2,2,-1,-3,-1,81
20151110151870,1,1,27.8,3,1,5,90,70,0,0,-1,1,1,2,-1,1,1,2,1, 11273655.648141,2,3,2,72,7,-1,-1,-1,2,2,-1,-1,-1,205,2,0
20151110151872,1,1,25.1,3,1,5,20,10,0,0,-1,2,1,1,6,2,-1,-1,1, 14210127.121273,2,1,1,67,7,-1,1,2,1,-1,1,2,1,160,-1,0
20151110151878,1,2,21.4,3,5,-1,10,0,0,0,-1,2,2,1,1,2,-1,-1,1, 47570643.799179,1,1,2,69,7,3,-1,-1,2,-1,-1,-1,-1,145,2,0
20151110151888,1,1,-1.0,3,1,5,30,30,0,-1,-1,2,1,1,4,1,3,1,1,  7731803.349053,2,3,1,68,7,-1,1,2,1,-1,2,4,2,-3,2,0
20151110151890,1,2,-1.0,3,5,5,75,0,-1,-1,-1,2,2,2,-1,2,-1,-1,1,  8155828.703497,2,3,1,-2,7,3,1,2,1,-1,2,2,2,-2,-1,0
20151110151893,1,1,24.3,3,1,-1,60,0,0,0,-1,1,1,2,-1,1,3,2,1,  5813298.720311,2,2,1,68,7,-1,2,2,1,2,1,2,-1,160,-1,0
